Date,Symbol,Series,PrevClose,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,DeliverableVolume,%Deliverble
1998-01-01,RELIANCE,EQ,167.7,166.85,171.25,165.95,,169.25,169.28,6137700,1.04E+14,,,
1998-01-02,RELIANCE,EQ,169.25,170,171.15,168.75,,169.3,169.94,3282150,5.58E+13,,,
1998-01-05,RELIANCE,EQ,169.3,170.15,174.5,170.15,,172.45,173.15,6552200,1.13E+14,,,
1998-01-06,RELIANCE,EQ,172.45,171.3,172.5,168.8,,171.05,170.26,4902800,8.35E+13,,,
1998-01-07,RELIANCE,EQ,171.05,172.8,173.25,169.2,,172.75,171.35,7187800,1.23E+14,,,
1998-01-08,RELIANCE,EQ,172.75,172.2,172.7,167.25,,168.3,170.25,8055750,1.37E+14,,,
1998-01-09,RELIANCE,EQ,168.3,167.15,167.15,163.05,,164,164.56,7447850,1.23E+14,,,
1998-01-12,RELIANCE,EQ,164,163.1,163.1,155.1,,156.4,157.78,8370350,1.32E+14,,,
1998-01-13,RELIANCE,EQ,156.4,156.25,160.9,156.25,,157.9,158.95,6080400,9.66E+13,,,
1998-01-14,RELIANCE,EQ,157.9,162.5,162.5,153.5,,154.85,156.3,7148200,1.12E+14,,,
1998-01-15,RELIANCE,EQ,154.85,153.8,157.1,153,,156.4,154.82,4951000,7.66E+13,,,
1998-01-16,RELIANCE,EQ,156.4,157.3,158,155.55,,157.2,156.99,3459750,5.43E+13,,,
1998-01-19,RELIANCE,EQ,157.2,156.5,161.9,155.05,,161.05,158.95,6073200,9.65E+13,,,
1998-01-20,RELIANCE,EQ,161.05,161.8,164.15,157.05,,158.4,161.08,5405000,8.71E+13,,,
1998-01-21,RELIANCE,EQ,158.4,159,160,158.1,,158.8,159.06,3052950,4.86E+13,,,
1998-01-22,RELIANCE,EQ,158.8,158.4,158.4,155.3,,155.95,156.32,3445150,5.39E+13,,,
1998-01-23,RELIANCE,EQ,155.95,155.5,156.5,153.8,,154.4,155.03,3561300,5.52E+13,,,
1998-01-27,RELIANCE,EQ,154.4,154.9,154.9,150.2,,151.5,152.59,5042250,7.69E+13,,,
1998-01-28,RELIANCE,EQ,151.5,150.1,152,146.65,,148.2,149.2,6226950,9.29E+13,,,
1998-01-29,RELIANCE,EQ,148.2,147.5,150.4,147.05,,149.7,148.79,3329000,4.95E+13,,,
1998-01-30,RELIANCE,EQ,149.7,150.3,154.55,149.75,,154.2,152.62,5946050,9.07E+13,,,
1998-02-02,RELIANCE,EQ,154.2,155,157.2,154.1,,156.75,155.9,4835950,7.54E+13,,,
1998-02-03,RELIANCE,EQ,156.75,157.25,160.05,155.65,,159.15,157.74,6170600,9.73E+13,,,
1998-02-04,RELIANCE,EQ,159.15,159.5,159.85,153.35,,154.3,157.31,5461200,8.59E+13,,,
1998-02-05,RELIANCE,EQ,154.3,154,157.4,154,,156.15,156.38,4186350,6.55E+13,,,
1998-02-06,RELIANCE,EQ,156.15,156.4,157.5,155.3,,156.4,156.24,3146850,4.92E+13,,,
1998-02-09,RELIANCE,EQ,156.4,156.85,159.2,156.05,,158.05,157.74,3862050,6.09E+13,,,
1998-02-10,RELIANCE,EQ,158.05,157.55,158.25,156.4,,157.35,157.44,3069300,4.83E+13,,,
1998-02-11,RELIANCE,EQ,157.35,156.4,157,150.95,,152.5,153.17,4148800,6.35E+13,,,
1998-02-12,RELIANCE,EQ,152.5,152,152.75,148.35,,149.25,150.14,6549500,9.83E+13,,,
1998-02-13,RELIANCE,EQ,149.25,149.95,151.75,149.1,,150.85,150.29,3187750,4.79E+13,,,
1998-02-17,RELIANCE,EQ,150.85,151.85,153.95,150.3,,151.3,151.8,4995900,7.58E+13,,,
1998-02-18,RELIANCE,EQ,151.3,151.1,151.75,149.4,,150.1,150.32,2373100,3.57E+13,,,
1998-02-19,RELIANCE,EQ,150.1,150.7,155.4,150.05,,152.8,153.41,6220750,9.54E+13,,,
1998-02-20,RELIANCE,EQ,152.8,153.4,154.4,150.05,,150.35,151.77,4873550,7.40E+13,,,
1998-02-23,RELIANCE,EQ,150.35,151.1,153.25,150.55,,152.7,151.98,3515600,5.34E+13,,,
1998-02-24,RELIANCE,EQ,152.7,153.35,153.75,151.7,,152.7,152.77,4780600,7.30E+13,,,
1998-02-25,RELIANCE,EQ,152.7,154.5,158,153.3,,157.15,156.7,5975150,9.36E+13,,,
1998-02-26,RELIANCE,EQ,157.15,157.35,158.6,155.8,,157.3,157.39,4684600,7.37E+13,,,
1998-02-27,RELIANCE,EQ,157.3,157.65,161.25,157.5,,160.2,159.42,6792950,1.08E+14,,,
1998-03-02,RELIANCE,EQ,160.2,160.8,168.25,160.8,,167.1,164.98,8826500,1.46E+14,,,
1998-03-03,RELIANCE,EQ,167.1,166.5,168,158.6,,160.45,161.79,7098400,1.15E+14,,,
1998-03-04,RELIANCE,EQ,160.45,162.1,168,162,,166.2,165.75,6201500,1.03E+14,,,
1998-03-05,RELIANCE,EQ,166.2,165.5,171.9,164,,166.75,168.9,8462300,1.43E+14,,,
1998-03-06,RELIANCE,EQ,166.75,166.1,167.4,164,,165.75,165.63,5907250,9.78E+13,,,
1998-03-09,RELIANCE,EQ,165.75,166.7,182.15,166.7,,180.8,174.62,18901050,3.30E+14,,,
1998-03-10,RELIANCE,EQ,180.8,181,183.4,175,,176.45,179.1,12747800,2.28E+14,,,
1998-03-11,RELIANCE,EQ,176.45,178.15,179.8,169.65,,172,174.85,14177400,2.48E+14,,,
1998-03-12,RELIANCE,EQ,172,172,172.45,168.95,,170.3,170.5,10902050,1.86E+14,,,
1998-03-16,RELIANCE,EQ,170.3,170.9,180.65,170.9,,176.35,178.39,12007250,2.14E+14,,,
1998-03-17,RELIANCE,EQ,176.35,175.75,176.5,172.7,,174.8,174.14,8410350,1.46E+14,,,
1998-03-18,RELIANCE,EQ,174.8,178.5,180.4,177.6,,178.75,178.88,6532400,1.17E+14,,,
1998-03-19,RELIANCE,EQ,178.75,179.35,180.15,175.35,,176.2,177.22,6409250,1.14E+14,,,
1998-03-20,RELIANCE,EQ,176.2,175.35,178.25,173.75,,177.35,176.21,7573850,1.33E+14,,,
1998-03-23,RELIANCE,EQ,177.35,178.5,181,178.5,180.2,180.2,179.98,1758700,3.17E+13,,,
1998-03-24,RELIANCE,EQ,180.2,184,184.9,177.5,178,178.7,180.48,8838650,1.60E+14,,,
1998-03-25,RELIANCE,EQ,178.7,181.5,184.6,179,183.5,183.85,182.32,8936250,1.63E+14,,,
1998-03-26,RELIANCE,EQ,183.85,183.85,184.25,178.75,179.25,179.45,181.37,6915150,1.25E+14,,,
1998-03-27,RELIANCE,EQ,179.45,179.1,180.75,178.25,180.7,180.4,179.74,6087650,1.09E+14,,,
1998-03-30,RELIANCE,EQ,180.4,181.35,182.7,176.55,176.9,177.3,179.87,5759900,1.04E+14,,,
1998-03-31,RELIANCE,EQ,177.3,176.35,177.95,174,175,175,175.88,8030800,1.41E+14,,,
1998-04-01,RELIANCE,EQ,175,177.5,183.5,177,182.6,182.85,181.34,8618000,1.56E+14,,,
1998-04-02,RELIANCE,EQ,182.85,183.5,186,181.35,181.5,181.85,183.19,5859700,1.07E+14,,,
1998-04-03,RELIANCE,EQ,181.85,181.5,185.5,181.5,185.25,184.95,183.94,7070950,1.30E+14,,,
1998-04-06,RELIANCE,EQ,184.95,185.75,186.7,184,184.9,184.85,185.31,5626300,1.04E+14,,,
1998-04-07,RELIANCE,EQ,184.85,184.5,187.5,183.1,186.7,185.35,185.31,8637750,1.60E+14,,,
1998-04-09,RELIANCE,EQ,185.35,188.9,202.65,188.9,199.3,199.45,199.35,10915150,2.18E+14,,,
1998-04-10,RELIANCE,EQ,199.45,199,199.9,194.25,195.3,194.95,196.56,7098200,1.40E+14,,,
1998-04-13,RELIANCE,EQ,194.95,192.1,192.2,188.45,190.1,189.2,189.98,8805100,1.67E+14,,,
1998-04-15,RELIANCE,EQ,189.2,195.5,199.9,194,199.3,198.75,197.1,6433300,1.27E+14,,,
1998-04-16,RELIANCE,EQ,198.75,198.7,199,194.15,194.75,194.95,196.47,4399100,8.64E+13,,,
1998-04-17,RELIANCE,EQ,194.95,194.9,199.45,193.6,199.15,198.9,197.02,6778200,1.34E+14,,,
1998-04-20,RELIANCE,EQ,198.9,199.7,202.2,196.5,196.7,197.8,199.8,7282700,1.46E+14,,,
1998-04-21,RELIANCE,EQ,197.8,198.5,200.75,197.5,200.5,199.25,198.92,5535050,1.10E+14,,,
1998-04-22,RELIANCE,EQ,199.25,202,206.75,197,197.6,198.05,202.47,11597550,2.35E+14,,,
1998-04-23,RELIANCE,EQ,198.05,196.9,197.8,189.7,190.15,190.9,194.2,9297250,1.81E+14,,,
1998-04-24,RELIANCE,EQ,190.9,191.25,192.8,187.05,191.5,191.6,190.22,10176550,1.94E+14,,,
1998-04-27,RELIANCE,EQ,191.6,191.85,193.5,187.5,188.6,188.15,190.39,12317400,2.35E+14,,,
1998-04-28,RELIANCE,EQ,188.15,188,188.45,184.1,186,185,186.19,10659050,1.98E+14,,,
1998-04-29,RELIANCE,EQ,185,194.9,198,189.65,190,190.45,194.24,8432100,1.64E+14,,,
1998-04-30,RELIANCE,EQ,190.45,189.55,192.85,188.6,192.35,191.95,191.14,7168200,1.37E+14,,,
1998-05-04,RELIANCE,EQ,191.95,192.5,195.5,192.1,195,194.75,194.12,5444000,1.06E+14,,,
1998-05-05,RELIANCE,EQ,194.75,194.5,195.35,193.7,194.75,194.8,194.49,2748800,5.35E+13,,,
1998-05-06,RELIANCE,EQ,194.8,194.9,195,190.3,191.3,190.9,191.91,4873800,9.35E+13,,,
1998-05-08,RELIANCE,EQ,190.9,190.15,191.2,189.1,190,190,190.03,3780450,7.18E+13,,,
1998-05-11,RELIANCE,EQ,190,189.55,191.25,189.15,190.85,190.75,190.58,1791250,3.41E+13,,,
1998-05-12,RELIANCE,EQ,190.75,190.4,190.4,182.35,185.75,185.35,185.83,7050950,1.31E+14,,,
1998-05-13,RELIANCE,EQ,185.35,185,185,172.3,173.5,174.8,179.67,9114100,1.64E+14,,,
1998-05-14,RELIANCE,EQ,174.8,172.5,180,170.1,179.5,178.7,174.93,12359650,2.16E+14,,,
1998-05-15,RELIANCE,EQ,178.7,180.45,182.9,176.4,177.45,177.2,179.29,8297500,1.49E+14,,,
1998-05-18,RELIANCE,EQ,177.2,178.45,181.45,178.45,179.45,179.15,179.95,4107650,7.39E+13,,,
1998-05-19,RELIANCE,EQ,179.15,179.1,181.5,178.5,181.2,180.9,179.69,4430550,7.96E+13,,,
1998-05-20,RELIANCE,EQ,180.9,181.2,183.8,180.1,183.05,183.2,181.98,6010150,1.09E+14,,,
1998-05-21,RELIANCE,EQ,183.2,184,185.45,179.7,181,181,182.59,8557650,1.56E+14,,,
1998-05-22,RELIANCE,EQ,181,181.5,182.5,180,181.4,181.85,181.49,4451000,8.08E+13,,,
1998-05-25,RELIANCE,EQ,181.85,179.5,184.35,179.1,182.3,182.55,182.72,5739850,1.05E+14,,,
1998-05-26,RELIANCE,EQ,182.55,182,182.6,180.8,182,181.85,181.63,3496800,6.35E+13,,,
1998-05-27,RELIANCE,EQ,181.85,181,181,172.65,173.4,173.6,176.87,9043850,1.60E+14,,,
1998-05-28,RELIANCE,EQ,173.6,172.6,174.1,165.7,166.5,166.3,169.66,11849200,2.01E+14,,,
1998-05-29,RELIANCE,EQ,166.3,165.85,171,158.5,167.5,166.85,165.07,15510800,2.56E+14,,,
1998-06-01,RELIANCE,EQ,166.85,169,178,163.6,164.75,165.25,171.34,17442900,2.99E+14,,,
1998-06-02,RELIANCE,EQ,165.25,166,166,153.8,156.25,155.55,159.76,21936150,3.50E+14,,,
1998-06-03,RELIANCE,EQ,155.55,160,166.9,158.55,166.7,165.8,163.49,10481500,1.71E+14,,,
1998-06-04,RELIANCE,EQ,165.8,167,167.5,162.6,163.25,163.4,164.73,5952000,9.80E+13,,,
1998-06-05,RELIANCE,EQ,163.4,162.15,162.9,156.4,157.7,158,160.13,8024500,1.28E+14,,,
1998-06-08,RELIANCE,EQ,158,159.5,160.5,150.5,156.35,155.6,154.92,8002700,1.24E+14,,,
1998-06-09,RELIANCE,EQ,155.6,156.5,158.25,153.3,156.25,154.8,155.25,7230000,1.12E+14,,,
1998-06-10,RELIANCE,EQ,154.8,155.5,156,149,149.3,149.65,151.63,6845850,1.04E+14,,,
1998-06-11,RELIANCE,EQ,149.65,148.1,152.55,146,152.1,151.7,149.73,7064350,1.06E+14,,,
1998-06-12,RELIANCE,EQ,151.7,152.45,154.75,149.7,153,151.75,152.43,5216150,7.95E+13,,,
1998-06-15,RELIANCE,EQ,151.75,151.3,151.3,145,145.2,145.7,147.47,4341550,6.40E+13,,,
1998-06-16,RELIANCE,EQ,145.7,145,145.65,138.3,145.15,145,142.97,7631900,1.09E+14,,,
1998-06-17,RELIANCE,EQ,145,148.25,156.7,148.25,155.25,153.6,153.51,5823450,8.94E+13,,,
1998-06-18,RELIANCE,EQ,153.6,155.5,158.5,148,148.25,148.9,153.27,5836300,8.95E+13,,,
1998-06-19,RELIANCE,EQ,148.9,147.15,147.15,141,142.4,142.05,143.51,5047900,7.24E+13,,,
